Symbol,Name,Address,Sector,Industry,Full Time Employees,Description,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
ADI,Analog Devices Inc,"One Analog Way
Wilmington, MA 01887
United States
781 935 5565
https://www.analog.com",Technology,Semiconductors,"24,450","Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and high-end consumer markets; and power ICs that include performance, integration, and software design simulation tools for accurate power supply designs. It also offers high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and micro-electro-mechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company provides digital signal processing and system products for high-speed numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",24,10.1,5.9,7.7,None,0,39th percentile,Medium
ADM,Archer Daniels Midland Co,"77 West Wacker Drive
Suite 4600
Chicago, IL 60601
United States
312 634 8100
https://www.adm.com",Consumer Defensive,Farm Products,"40,360","Archer-Daniels-Midland Company procures, transports, stores, processes, and merchandises agricultural commodities, products, and ingredients in the United States, Switzerland, the Cayman Islands, Brazil, Mexico, Canada, the United Kingdom, and internationally. The company operates in three segments: Ag Services and Oilseeds, Carbohydrate Solutions, and Nutrition. It originates, merchandises, stores, and transports agricultural raw materials, such as oilseeds and soft seeds. The company also engages in the agricultural commodity and feed product import, export, and distribution; and structured trade finance activities. In addition, it offers vegetable oils and protein meals; ingredients for the food, feed, energy, and industrial customers; crude vegetable oils, salad oils, margarine, shortening, and other food products; and partially refined oils to produce biodiesel and glycols for use in chemicals, paints, and other industrial products. Further, the company provides peanuts, peanut-derived ingredients, and cotton cellulose pulp; sweeteners, corn and wheat starches, syrup, glucose, wheat flour, and dextrose; alcohol and other food and animal feed ingredients; ethyl alcohol and ethanol; corn gluten feed and meal; distillers' grains; and citric acids. Additionally, the company provides natural flavors, flavor systems, natural colors, proteins, emulsifiers, soluble fiber, polyols, hydrocolloids, probiotics, prebiotics, enzymes, and botanical extracts; and other specialty food and feed ingredients; edible beans; formula feeds, and animal health and nutrition products; and contract and private label pet treats and foods. It also offers futures commission merchant; commodity brokerage services; cash margins and securities pledged to commodity exchange clearinghouses; and cash pledged as security under certain insurance arrangements. The company was founded in 1902 and is headquartered in Chicago, Illinois.",36,18,5,13,Significant,3,83rd percentile,Severe
ADP,Automatic Data Processing,"One ADP Boulevard
Roseland, NJ 07068
United States
973 974 5000
https://www.adp.com",Industrials,Staffing & Employment Services,"63,000","Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services, as well as integrated HCM solutions. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",14,1.1,5.9,7,Low,1,8th percentile,Low
ADSK,Autodesk Inc,"One Market Street
Suite 400
San Francisco, CA 94105
United States
415 507 5000
https://www.autodesk.com",Technology,Software—Application,"13,700","Autodesk, Inc. provides 3D design, engineering, and entertainment technology solutions worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BuildingConnected, a SaaS preconstruction solution; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry. It sells its products and services to customers directly, as well as through a network of resellers and distributors. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Francisco, California.",16,3,4,8,,0,13th percentile,Negligible
AEE,Ameren Corporation,"1901 Chouteau Avenue
Saint Louis, MO 63103
United States
314 621 3222
https://www.ameren.com",Utilities,Utilities—Regulated Electric,"9,244","Ameren Corporation, together with its subsidiaries, operates as a public utility holding company in the United States. The company operates through four segments: Ameren Missouri, Ameren Illinois Electric Distribution, Ameren Illinois Natural Gas, and Ameren Transmission. It engages in the rate-regulated electric generation, transmission, and distribution activities; and rate-regulated natural gas distribution and transmission businesses. In addition, the company generates electricity through coal, nuclear, and natural gas, as well as renewable sources, such as hydroelectric, wind, methane gas, and solar. It serves residential, commercial, and industrial customers. The company was founded in 1881 and is headquartered in St. Louis, Missouri.",30,14.1,5.5,9.9,Moderate,2,63rd percentile,Medium
AEP,American Electric Power,"1 Riverside Plaza
Columbus, OH 43215
United States
614 716 1000
https://www.aep.com",Utilities,Utilities—Regulated Electric,"16,974","American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, renewable, nuclear, hydro, solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. The company was incorporated in 1906 and is headquartered in Columbus, Ohio.",26,13,5,8,Moderate,2,47th percentile,
AES,Aes Corp,"4300 Wilson Boulevard
11th Floor
Arlington, VA 22203
United States
703 522 1315
https://www.aes.com",Utilities,Utilities—Diversified,"9,100","The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It uses a range of fuels and technologies to generate electricity, including coal, gas, hydro, wind, solar, and biomass; and renewables, such as energy storage and landfill gas. The company owns and/or operates a generation portfolio of approximately 32,326 megawatts. It has operations in the United States, Puerto Rico, El Salvador, Chile, Colombia, Argentina, Brazil, Mexico, Central America, the Caribbean, Europe, and Asia. The company was formerly known as Applied Energy Services, Inc. and changed its name to The AES Corporation in April 2000. The AES Corporation was incorporated in 1981 and is headquartered in Arlington, Virginia.",34,16.5,6.5,11.2,Moderate,2,78th percentile,High
AFL,Aflac Inc,"1932 Wynnton Road
Columbus, GA 31999
United States
706 323 3431
https://www.aflac.com",Financial Services,Insurance—Life,"12,882","Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. It operates in two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, nursing care, work leave, GIFT, and whole and term life insurance products, as well as WAYS and child endowment plans under saving type insurance products in Japan. The Aflac U.S. segment provides cancer, accident, short-term disability, critical illness, hospital indemnity, dental, vision, long-term care and disability, and term and whole life insurance products in the United States. It sells its products through sales associates, brokers, independent corporate agencies, individual agencies, and affiliated corporate agencies. The company was founded in 1955 and is headquartered in Columbus, Georgia.",17,0,10,7,Moderate,2,17th percentile,Negligible
AIG,American International Group,"1271 Avenue of the Americas
New York, NY 10020
United States
212 770 7000
https://www.aig.com",Financial Services,Insurance—Diversified,"26,200","American International Group, Inc. offers insurance products for commercial, institutional, and individual customers in North America and internationally. It operates through General Insurance, and Life and Retirement segments. The General Insurance segment provides commercial and industrial property insurance, including business interruption and package insurance that cover exposure to made and natural disasters; general liability, environmental, commercial automobile liability, workers' compensation, excess casualty, and crisis management insurance products; and professional liability insurance. This segment also offers marine, energy-related property insurance, aviation, political risk, trade credit, trade finance, and portfolio solutions, as well as operates reinsurance business; voluntary and sponsor-paid personal accident, and supplemental health products; and personal auto and personal property insurance. The Life and Retirement segment offers individual retirement products, including variable, fixed index, and fixed annuities, as well as retail mutual funds; group retirement products comprising record-keeping, plan administrative and compliance services, financial planning, and advisory solutions; life insurance, including term and universal life insurance; and institutional markets products, which includes wrap products, structured settlement, pension risk transfer annuities, corporate and bank-owned life insurance, high net worth, and guaranteed investment contract products. The company distributes its products through a network of brokers, agents, advisors, banks, and other distributors. American International Group, Inc. was founded in 1919 and is headquartered in New York, New York.",25,2,14,10,Moderate,2,45th percentile,
AIZ,Assurant Inc,"260 Interstate North Circle SE
Atlanta, GA 30339-2210
United States
770 763 1000
https://www.assurant.com",Financial Services,Insurance—Specialty,"13,700","Assurant, Inc., together with its subsidiaries, provides business services that supports, protects, and connects consumer purchases in North America, Latin America, Europe, and the Asia Pacific. The company operates through two segments: Global Lifestyle and Global Housing. The Global Lifestyle segment offers mobile device solutions, and extended service products and related services for consumer electronics and appliances, and credit and other insurance products; and vehicle protection, leased and financed solutions, and other related services. The Global Housing segment provides lender-placed homeowners, manufactured housing, and flood insurance; renters insurance and related products; and voluntary manufactured housing insurance, voluntary homeowners insurance, and other specialty products. The company was formerly known as Fortis, Inc. and changed its name to Assurant, Inc. in February 2004. Assurant, Inc. was founded in 1892 and is headquartered in Atlanta, Georgia.",24,2,11,12,Significant,3,43rd percentile,
AJG,Arthur J Gallagher & Co,"2850 Golf Road
Rolling Meadows, IL 60008-4050
United States
630 773 3800
https://www.ajg.com",Financial Services,Insurance Brokers,"45,641","Arthur J. Gallagher & Co., together with its subsidiaries, provides insurance and reinsurance brokerage, consulting, and third-party property/casualty claims settlement and administration services to businesses and organizations worldwide. It operates in Brokerage and Risk Management segments. The Brokerage segment offers retail and wholesale insurance and reinsurance brokerage services; assists retail brokers and other non-affiliated brokers in the placement of specialized and hard-to-place insurance; and acts as a brokerage wholesaler, managing general agent, and managing general underwriter for distributing specialized insurance coverages to underwriting enterprises. This segment also performs activities, including marketing, underwriting, issuing policies, collecting premiums, appointing and supervising other agents, paying claims, and negotiating reinsurance; and offers services in the areas of insurance and reinsurance placement, risk of loss management, and management of employer sponsored benefit programs. The Risk Management segment provides contract claim settlement and administration services; and claims management, loss control consulting, and insurance property appraisal services. The company offers its services through a network of correspondent brokers and consultants. It serves commercial, industrial, public, religious, and not-for-profit entities, as well as underwriting enterprises. The company was founded in 1927 and is headquartered in Rolling Meadows, Illinois.",21,0.1,10.5,10.7,Moderate,2,30th percentile,Medium
AKAM,Akamai Technologies Inc,"145 Broadway
Cambridge, MA 02142
United States
617 444 3000
https://www.akamai.com",Technology,Software—Infrastructure,"9,800","Akamai Technologies, Inc. provides cloud services for securing, delivering, and computing content, applications, and software over the internet in the United States and internationally. The company offers cloud solutions to keep infrastructure, websites, applications, application programming interfaces, and users safe from various cyberattacks and online threats while enhancing performance. It also provides web and mobile performance solutions to enable dynamic websites and applications; media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics; and cloud computing services, such as compute, storage, networking, database, and container management services to build, deploy, and secure applications and workloads. In addition, the company offers carrier offerings, including cybersecurity protection, parental controls, DNS infrastructure and content delivery solutions; and an array of service and support to assist customers with integrating, configuring, optimizing, and managing its offerings. It sells its solutions through direct sales and service organizations, as well as through various channel partners. The company was incorporated in 1998 and is headquartered in Cambridge, Massachusetts.",17,2.9,6.7,6.9,Low,1,14th percentile,Low
ALB,Albemarle Corp,"4250 Congress Street
Suite 900
Charlotte, NC 28209
United States
980 299 5700
https://www.albemarle.com",Basic Materials,Specialty Chemicals,"7,400","Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Lithium, Bromine, and Catalysts. The Lithium segment offers lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and lithium specialties and reagents, such as butyllithium and lithium aluminum hydride for use in lithium batteries for consumer electronics and electric vehicles, high performance greases, thermoplastic elastomers for car tires, rubber soles, plastic bottles, catalysts for chemical reactions, organic synthesis processes in the areas of steroid chemistry and vitamins, life sciences, pharmaceutical industry, and other markets. It also provides cesium products for the chemical and pharmaceutical industries; zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators; technical services for the handling and use of reactive lithium products; and lithium-containing by-products recycling services. The Bromine segment offers bromine and bromine-based products used in fire safety solutions; specialty chemicals, including elemental bromine, alkyl and inorganic bromides, brominated powdered activated carbon, and other bromine fine chemicals for use in chemical synthesis, oil and gas well drilling and completion fluids, mercury control, water purification, beef and poultry processing, and other industrial applications; and other specialty chemicals, such as tertiary amines for surfactants, biocides, disinfectants, and sanitizers. The Catalysts segment provides hydroprocessing, isomerization, and akylation catalysts; fluidized catalytic cracking catalysts and additives; and organometallics and curatives. The company serves the energy storage, petroleum refining, consumer electronics, construction, automotive, lubricants, pharmaceuticals, and crop protection markets. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina.",29,16,8,6,Moderate,2,60th percentile,
